Date,Open,High,Low,Close,Volume,OpenInt,Stock
1/11/2018,188.3999939,188.3999939,187.3800049,187.7700043,9588600,0,FB
1/12/2018,178.0599976,181.4799957,177.3999939,179.3699951,77551300,0,FB
1/16/2018,181.5,181.75,178.0399933,178.3899994,36183800,0,FB
1/17/2018,179.2599945,179.3200073,175.8000031,177.6000061,27992400,0,FB
1/18/2018,178.1300049,180.9799957,177.0800018,179.8000031,23304900,0,FB
1/19/2018,180.8500061,182.3699951,180.1699982,181.2899933,26826500,0,FB
1/22/2018,180.8000031,185.3899994,180.4100037,185.3699951,21059500,0,FB
1/23/2018,186.0500031,189.5500031,185.5500031,189.3500061,25678800,0,FB
1/24/2018,189.8899994,190.6600037,186.5200043,186.5500031,24334500,0,FB
1/25/2018,187.9499969,188.6199951,186.6000061,187.4799957,17377700,0,FB
1/26/2018,187.75,190,186.8099976,190,17759200,0,FB
1/29/2018,188.75,188.8399963,185.6300049,185.9799957,20453200,0,FB
1/30/2018,187.6199951,188.1799927,181.8399963,187.1199951,20858600,0,FB
1/31/2018,188.3699951,189.8300018,185.2200012,186.8899994,43275100,0,FB
2/1/2018,188.2200012,195.3200073,187.8899994,193.0899963,54211300,0,FB
2/2/2018,192.0399933,194.2100067,189.9799957,190.2799988,26677500,0,FB
2/5/2018,186.9299927,190.6100006,180.6100006,181.2599945,33128200,0,FB
2/6/2018,178.5700073,185.7700043,177.7400055,185.3099976,37758500,0,FB
2/7/2018,184.1499939,185.0800018,179.9499969,180.1799927,27601900,0,FB
2/8/2018,181.0099945,181.8399963,171.4799957,171.5800018,38478300,0,FB
2/9/2018,174.7599945,176.8999939,167.1799927,176.1100006,39887600,0,FB
2/12/2018,177.0599976,177.5500031,171.8399963,176.4100037,32092100,0,FB
2/13/2018,175.6199951,175.9700012,173.1000061,173.1499939,21809400,0,FB
2/14/2018,173.4499969,179.8099976,173.2100067,179.5200043,28929700,0,FB
2/15/2018,180.5,180.5,176.8399963,179.9600067,20922100,0,FB
2/16/2018,178.9900055,179.8800049,176.3000031,177.3600006,20645300,0,FB
2/20/2018,175.7700043,177.9499969,175.1100006,176.0099945,21204900,0,FB
2/21/2018,176.7100067,181.2700043,176.3999939,177.9100037,23200800,0,FB
2/22/2018,178.6999969,180.2100067,177.4100037,178.9900055,18464200,0,FB
2/23/2018,179.8999939,183.3899994,179.5099945,183.2899933,19007300,0,FB
2/26/2018,184.5800018,185.6600037,183.2200012,184.9299927,17599700,0,FB
2/27/2018,184.4499969,184.6999969,181.4600067,181.4600067,15849800,0,FB
2/28/2018,182.3000031,182.8800049,178.1399994,178.3200073,18783000,0,FB
3/1/2018,179.0099945,180.1199951,174.4100037,175.9400024,23201600,0,FB
3/2/2018,173.2899933,177.1100006,172.9900055,176.6199951,20025900,0,FB
3/5/2018,176.1999969,181.1499939,175.8899994,180.3999939,16189300,0,FB
3/6/2018,181.7799988,182.3800049,179.1100006,179.7799988,15086800,0,FB
3/7/2018,178.7400055,183.8200073,178.0700073,183.7100067,19097300,0,FB
3/8/2018,183.5599976,184.3999939,181.4499969,182.3399963,17225900,0,FB
3/9/2018,183.9100037,185.5099945,183.2100067,185.2299957,18526300,0,FB
3/12/2018,185.2299957,186.1000061,184.2200012,184.7599945,15301200,0,FB
3/13/2018,185.6100006,185.9900055,181.1100006,181.8800049,18067500,0,FB
3/14/2018,182.6000061,184.25,181.8500061,184.1900024,16821700,0,FB
3/15/2018,183.2400055,184,182.1900024,183.8600006,15614300,0,FB
3/16/2018,184.4900055,185.3300018,183.4100037,185.0899963,24403400,0,FB
3/19/2018,177.0099945,177.1699982,170.0599976,172.5599976,88140100,0,FB
3/20/2018,167.4700012,170.1999969,161.9499969,168.1499939,129851800,0,FB
3/21/2018,164.8000031,173.3999939,163.3000031,169.3899994,106598800,0,FB
3/22/2018,166.1300049,170.2700043,163.7200012,164.8899994,73743000,0,FB
3/23/2018,165.4400024,166.6000061,159.0200043,159.3899994,53609700,0,FB
3/26/2018,160.8200073,161.1000061,149.0200043,160.0599976,126116600,0,FB
3/27/2018,156.3099976,162.8500061,150.75,152.2200012,79117000,0,FB
3/28/2018,151.6499939,155.8800049,150.8000031,153.0299988,60029200,0,FB
3/29/2018,155.1499939,161.4199982,154.1399994,159.7899933,59434300,0,FB
4/2/2018,157.8099976,159.1999969,154.1100006,155.3899994,36796000,0,FB
